5	18167
56	166
64	83
9	167
9	167
9	41
1	42
8	125
5	83
17	458
1	84
8	83
4	41
1	42
8	42
4	0
1	42
8	41
5	42
1	41
8	41
5	41
1	42
8	42
5	42
20	83
3	42
1	42
8	83
5	42
3	42
20	84
512	792
48	83
9	83
12	84
9	84
12	125
1	42
8	83
4	42
1	42
8	42
4	41
64	291
88	125
10	166
1	84
8	125
4	84
1	42
8	84
6	42
1	41
8	84
4	42
20	83
18	83
18	41
36	125
32	41
1	84
8	42
35	84
36	83
1	41
8	83
4	41
1	42
8	42
4	0
1	42
8	42
4	42
1	42
8	83
4	42
20	42
12	42
24	42
15	42
20	42
12	42
24	42
15	42
20	0
20	42
1	83
8	41
16	41
32	42
29	42
1	42
8	42
4	42
1	42
8	42
4	42
20	42
1	42
8	84
16	42
32	83
18	83
20	83
1	41
8	0
16	42
17	42
20	41
1	41
8	84
16	42
20	42
20	42
18	0
18	42
36	83
32	42
32	42
64	41
49	84
1	42
8	84
5	42
1	42
8	41
5	42
1	41
8	42
5	41
1	42
8	125
5	42
1	42
8	41
5	42
1	42
8	42
5	42
1	42
8	42
5	41
1	0
8	84
5	41
1	42
8	42
5	42
1	42
8	83
5	41
1	41
8	42
5	42
1	41
8	83
5	42
1	41
8	42
5	41
1	42
8	41
5	42
1	42
8	42
5	42
1	0
8	42
5	42
1	42
8	42
5	42
1	0
8	42
5	41
1	42
8	41
5	41
1	41
8	42
5	42
1	41
8	42
5	41
1	42
8	41
5	42
1	42
8	83
5	42
11	84
3	125
11	42
2	41
18	83
11	83
11	42
11	84
11	41
200	167
72	125
64	125
20	84
1	83
8	125
4	83
1	83
8	83
6	84
1	41
8	41
5	0
1	42
8	84
5	41
1	41
8	42
5	42
1	83
8	83
5	42
1	41
8	42
5	42
1	41
8	83
5	42
1	42
8	41
5	41
1	42
8	42
5	42
1	0
8	125
5	41
1	0
8	125
5	42
1	42
8	84
5	42
1	0
8	41
5	41
1	42
8	83
6	42
1	42
8	84
5	41
1	41
8	42
5	41
1	42
8	42
5	0
1	42
8	42
5	42
1	0
8	42
5	42
11	41
3	84
11	42
11	41
64	0
64	167
32	125
48	41
96	83
1096	5750
11600	250
1120	375
40	0
32	0
40	208
24	166
32	166
24	167
32	42
200	208
200	83
24	42
32	83
24	42
32	42
14	42
14	42
14	41
14	42
365	41
6	42
5	84
128	83
3	42
1	41
200	83
32	41
304	83
32	41
304	83
304	83
304	83
304	83
64	83
304	84
304	42
304	83
304	41
128	83
304	84
304	83
304	42
304	83
304	42
304	84
304	41
304	41
256	41
304	41
304	41
304	83
304	84
304	42
304	42
